2022-05-04 21:19:09.8645 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 21:19:12.7226 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 21:19:12.7279 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 21:19:58.6735 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 21:19:58.6735 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 21:20:02.6109 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 21:20:02.6201 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 21:20:18.4162 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 21:20:18.5476 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 21:20:23.8424 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Attempting to get a single record with id:1
2022-05-04 21:20:23.8982 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Successfully retrieved the Author with id:1
2022-05-04 21:20:26.2107 | INFO | BookStore.Infrastructure.Data.LoggerService | Author deletion attempted with record id: 1
2022-05-04 21:20:26.3539 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 21:20:26.3539 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 21:21:30.7922 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-04 21:21:30.9076 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-04 21:22:22.3865 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
