2022-05-05 02:33:17.3526 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:33:17.3573 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:33:19.4027 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Attempting to get a single record with id:2
2022-05-05 02:33:19.4027 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Successfully retrieved the Author with id:2
2022-05-05 02:33:20.6551 | INFO | BookStore.Infrastructure.Data.LoggerService | Author deletion attempted with record id: 2
2022-05-05 02:33:45.2767 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:33:45.4164 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:34:20.2251 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - CreateAuthor: Attempting to submit a single record
2022-05-05 02:34:20.2709 | INFO | BookStore.Infrastructure.Data.LoggerService | Successfully submitted an Author object as: BookStore.Core.Entities.Author
2022-05-05 02:34:20.4086 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:34:20.4161 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:34:22.4013 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Attempting to get a single record with id:3
2022-05-05 02:34:22.4013 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Successfully retrieved the Author with id:3
2022-05-05 02:34:23.3608 | INFO | BookStore.Infrastructure.Data.LoggerService | Author deletion attempted with record id: 3
2022-05-05 02:34:23.3992 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:34:23.4039 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:34:25.2650 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Attempting to get a single record with id:3
2022-05-05 02:34:25.2650 | WARN | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthorById: Record with id:3 was not found
2022-05-05 02:34:26.8170 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:34:26.8170 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:34:38.3259 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - CreateAuthor: Attempting to submit a single record
2022-05-05 02:34:38.3259 | INFO | BookStore.Infrastructure.Data.LoggerService | Successfully submitted an Author object as: BookStore.Core.Entities.Author
2022-05-05 02:34:38.3592 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:34:38.3592 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:34:49.0763 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - CreateAuthor: Attempting to submit a single record
2022-05-05 02:34:49.0763 | INFO | BookStore.Infrastructure.Data.LoggerService | Successfully submitted an Author object as: BookStore.Core.Entities.Author
2022-05-05 02:34:49.1127 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:34:49.1127 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:34:58.9153 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - CreateAuthor: Attempting to submit a single record
2022-05-05 02:34:58.9227 | INFO | BookStore.Infrastructure.Data.LoggerService | Successfully submitted an Author object as: BookStore.Core.Entities.Author
2022-05-05 02:34:58.9482 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:34:58.9482 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
2022-05-05 02:35:05.5552 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get Authors with search parameter of: gchj
2022-05-05 02:35:05.5727 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully returned Authors with search parameter of: gchj
2022-05-05 02:35:07.8943 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get Authors with search parameter of: gchj
2022-05-05 02:35:07.8943 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully returned Authors with search parameter of: gchj
2022-05-05 02:35:11.5528 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Attempting to get all Author records...
2022-05-05 02:35:11.5564 | INFO | BookStore.Infrastructure.Data.LoggerService | Authors - GetAuthors: Successfully got all Author records
